ID|label|language|description|dcat_ap
http://datos.gob.es/kos/sector-publico/sector/ciencia-tecnologia|Ciencia y tecnología|es|Innovación, Investigación, I/u002BD/u002BI, Telecomunicaciones, Inernet y Sociedad de la Información.|http://publications.europa.eu/resource/authority/data-theme/TECH
http://datos.gob.es/kos/sector-publico/sector/comercio|Comercio|es|Consumo.|http://publications.europa.eu/resource/authority/data-theme/ECON
http://datos.gob.es/kos/sector-publico/sector/cultura-ocio|Cultura y ocio|es|Tiempo libre.|http://publications.europa.eu/resource/authority/data-theme/EDUC
http://datos.gob.es/kos/sector-publico/sector/demografia|Demografía|es|Inmigración y Emigración, Familia, Mujeres, Infancia, Mayores, Padrón.|http://publications.europa.eu/resource/authority/data-theme/SOCI
http://datos.gob.es/kos/sector-publico/sector/deporte|Deporte|es|Instalaciones deportivas, Federaciones, Competiciones.|http://publications.europa.eu/resource/authority/data-theme/EDUC
http://datos.gob.es/kos/sector-publico/sector/economia|Economía|es|Deuda, Moneda y Banca y finanzas.|http://publications.europa.eu/resource/authority/data-theme/ECON
http://datos.gob.es/kos/sector-publico/sector/educacion|Educación|es|Formación.|http://publications.europa.eu/resource/authority/data-theme/EDUC
http://datos.gob.es/kos/sector-publico/sector/empleo|Empleo|es|Trabajo, Mercado laboral.|http://publications.europa.eu/resource/authority/data-theme/ECON
http://datos.gob.es/kos/sector-publico/sector/energia|Energía|es|Fuentes renovables.|http://publications.europa.eu/resource/authority/data-theme/ENER
http://datos.gob.es/kos/sector-publico/sector/hacienda|Hacienda|es|Impuestos.|http://publications.europa.eu/resource/authority/data-theme/GOVE
http://datos.gob.es/kos/sector-publico/sector/industria|Industria|es|Minería.|http://publications.europa.eu/resource/authority/data-theme/ECON
http://datos.gob.es/kos/sector-publico/sector/legislacion-justicia|Legislación y justicia|es|Registros.|http://publications.europa.eu/resource/authority/data-theme/JUST
http://datos.gob.es/kos/sector-publico/sector/medio-ambiente|Medio ambiente|es|Meteorología, Geografía, Conservación fauna y flora.|http://publications.europa.eu/resource/authority/data-theme/ENVI
http://datos.gob.es/kos/sector-publico/sector/medio-rural-pesca|Medio Rural|es|Agricultura, Ganadería, Pesca y Silvicultura.|http://publications.europa.eu/resource/authority/data-theme/AGRI
http://datos.gob.es/kos/sector-publico/sector/salud|Salud|es|Sanidad.|http://publications.europa.eu/resource/authority/data-theme/HEAL
http://datos.gob.es/kos/sector-publico/sector/sector-publico|Sector público|es|Presupuestos, Organigrama institucional, Legislación interna, Función pública.|http://publications.europa.eu/resource/authority/data-theme/GOVE
http://datos.gob.es/kos/sector-publico/sector/seguridad|Seguridad|es|Protección civil, Defensa.|http://publications.europa.eu/resource/authority/data-theme/JUST
http://datos.gob.es/kos/sector-publico/sector/sociedad-bienestar|Sociedad y bienestar|es|Participación ciudadana, Marginación, Envejecimiento Activo, Autonomía personal y Dependencia, Invalidez, Jubilación, Seguros y Pensiones, Prestaciones y Subvenciones.|http://publications.europa.eu/resource/authority/data-theme/SOCI
http://datos.gob.es/kos/sector-publico/sector/transporte|Transporte|es|Comunicaciones y Tr/u00E1fico.|http://publications.europa.eu/resource/authority/data-theme/TRAN
http://datos.gob.es/kos/sector-publico/sector/turismo|Turismo|es|Alojamientos, Hostelería, Gastronomía.|http://publications.europa.eu/resource/authority/data-theme/ECON
http://datos.gob.es/kos/sector-publico/sector/urbanismo-infraestructuras|Urbanismo e infraestructuras|es|Saneamiento público, Construcción (infraestructuras, equipamientos públicos).|http://publications.europa.eu/resource/authority/data-theme/REGI
http://datos.gob.es/kos/sector-publico/sector/vivienda|Vivienda|es|Mercado inmobiliario, Construcción (viviendas).|http://publications.europa.eu/resource/authority/data-theme/REGI